inst#,actual,predicted,error,prediction
193,2:2,2:2,,0.89
194,4:4,4:4,,1
195,2:2,2:2,,0.93
196,1:1,1:1,,0.94
197,2:2,1:1,+,0.5
198,4:4,4:4,,0.99
199,4:4,4:4,,1
200,2:2,2:2,,0.68
201,4:4,4:4,,1
202,1:1,1:1,,0.97
203,2:2,2:2,,0.85
204,4:4,4:4,,1
205,4:4,4:4,,1
206,3:3,3:3,,1
207,4:4,4:4,,1
208,4:4,4:4,,0.93
209,4:4,4:4,,1
210,2:2,2:2,,1
211,4:4,4:4,,0.99
212,3:3,3:3,,0.8
213,2:2,1:1,+,0.52
214,4:4,4:4,,1
215,4:4,4:4,,0.98
216,4:4,4:4,,1
217,2:2,2:2,,0.99
218,4:4,4:4,,1
219,4:4,4:4,,0.98
220,4:4,4:4,,1
221,6:6,6:6,,1
222,4:4,4:4,,1
223,2:2,2:2,,0.67
224,7:7,7:7,,1
225,3:3,3:3,,1
226,3:3,3:3,,0.84
227,4:4,4:4,,1
228,4:4,4:4,,1
229,2:2,2:2,,0.55
230,4:4,4:4,,1
231,1:1,1:1,,0.95
232,4:4,4:4,,1
233,2:2,2:2,,1
234,1:1,2:2,+,0.57
235,3:3,3:3,,1
236,3:3,3:3,,1
237,7:7,7:7,,1
238,4:4,4:4,,1
239,2:2,2:2,,0.82
240,3:3,3:3,,1
241,2:2,2:2,,0.99
242,6:6,6:6,,1
243,3:3,3:3,,1
244,3:3,3:3,,1
245,4:4,4:4,,1
246,4:4,4:4,,0.97
247,4:4,4:4,,1
248,4:4,4:4,,1
249,1:1,1:1,,0.86
250,4:4,4:4,,1
251,4:4,4:4,,0.98
252,1:1,2:2,+,0.91
253,2:2,2:2,,0.99
254,1:1,1:1,,0.83
255,4:4,4:4,,1
256,1:1,2:2,+,0.89
257,2:2,2:2,,0.93
258,2:2,1:1,+,0.91
259,4:4,4:4,,1
260,4:4,4:4,,1
261,4:4,4:4,,1
262,5:5,5:5,,1
263,5:5,5:5,,1
264,1:1,1:1,,0.9
265,5:5,5:5,,1
266,4:4,4:4,,1
267,5:5,5:5,,1
268,2:2,2:2,,0.93
269,6:6,6:6,,0.97
270,5:5,5:5,,1
271,2:2,2:2,,0.99
272,2:2,2:2,,0.54
273,4:4,4:4,,1
274,5:5,5:5,,1
275,4:4,4:4,,1
276,4:4,4:4,,1
277,4:4,4:4,,1
278,1:1,1:1,,0.99
279,2:2,2:2,,0.98
280,3:3,3:3,,1
281,4:4,4:4,,1
282,4:4,4:4,,1
283,4:4,4:4,,1
284,3:3,3:3,,1
285,4:4,4:4,,1
286,4:4,4:4,,1
287,2:2,2:2,,1
288,1:1,1:1,,0.77
289,4:4,4:4,,1
290,4:4,4:4,,1
291,1:1,1:1,,0.83
292,4:4,4:4,,1
293,4:4,4:4,,1
294,2:2,2:2,,1
295,3:3,3:3,,1
296,4:4,4:4,,1
297,2:2,2:2,,0.82
298,2:2,2:2,,0.99
299,4:4,4:4,,1
300,7:7,7:7,,1
301,7:7,7:7,,1
302,4:4,4:4,,1
303,1:1,1:1,,0.85
304,7:7,7:7,,1
305,4:4,4:4,,1
306,1:1,1:1,,0.51
307,4:4,4:4,,1
308,4:4,4:4,,1
309,4:4,4:4,,0.99
310,7:7,7:7,,1
311,4:4,4:4,,1
312,2:2,2:2,,1
313,4:4,4:4,,1
314,4:4,4:4,,1
315,2:2,2:2,,0.98
316,3:3,3:3,,1
317,2:2,1:1,+,0.58
318,4:4,4:4,,0.98
319,4:4,4:4,,1
320,4:4,4:4,,1
321,4:4,4:4,,1
322,3:3,3:3,,1
323,4:4,4:4,,1
324,4:4,4:4,,1
325,5:5,5:5,,1
326,2:2,2:2,,0.91
327,5:5,5:5,,1
328,6:6,6:6,,1
329,2:2,2:2,,0.99
330,4:4,4:4,,1
331,4:4,4:4,,1
332,4:4,4:4,,1
333,4:4,4:4,,1
334,6:6,6:6,,1
335,4:4,4:4,,1
336,5:5,5:5,,1
337,4:4,4:4,,1
338,5:5,5:5,,1
339,6:6,6:6,,1
340,1:1,2:2,+,0.91
341,4:4,4:4,,0.99
342,4:4,4:4,,1
343,4:4,4:4,,1
344,4:4,4:4,,1
345,3:3,3:3,,1
346,2:2,2:2,,0.94
347,2:2,2:2,,0.99
348,5:5,5:5,,1
349,4:4,4:4,,1
350,7:7,7:7,,1
351,3:3,3:3,,1
352,2:2,2:2,,0.94
353,4:4,4:4,,1
354,1:1,1:1,,0.97
355,3:3,3:3,,0.92
356,4:4,4:4,,0.97
357,4:4,4:4,,1
358,4:4,4:4,,1
359,3:3,3:3,,1
360,3:3,3:3,,1
361,4:4,4:4,,1
362,4:4,4:4,,1
363,2:2,1:1,+,0.58
364,4:4,4:4,,0.94
365,1:1,1:1,,0.69
366,3:3,3:3,,1
367,1:1,1:1,,0.59
368,2:2,2:2,,0.69
369,3:3,3:3,,1
370,2:2,2:2,,0.97
371,3:3,3:3,,1
372,4:4,4:4,,1
373,2:2,1:1,+,0.66
374,5:5,5:5,,1
375,7:7,7:7,,1
376,7:7,7:7,,1
377,2:2,2:2,,1
378,4:4,4:4,,1
379,6:6,6:6,,1
380,6:6,6:6,,1
381,5:5,5:5,,1
382,3:3,3:3,,1
383,2:2,2:2,,0.92
384,2:2,2:2,,0.91
385,4:4,4:4,,1
386,4:4,4:4,,1
387,4:4,4:4,,1
388,4:4,4:4,,1
389,4:4,4:4,,1
390,5:5,5:5,,1
391,2:2,2:2,,0.88
392,4:4,4:4,,1
393,4:4,4:4,,1
394,3:3,3:3,,1
395,4:4,4:4,,1
396,7:7,7:7,,1
397,3:3,3:3,,1
398,4:4,4:4,,1
399,2:2,2:2,,0.8
400,3:3,3:3,,0.98
401,4:4,4:4,,1
402,4:4,4:4,,1
403,5:5,5:5,,1
404,3:3,3:3,,1
405,2:2,2:2,,1
406,7:7,7:7,,1
407,3:3,3:3,,1
408,4:4,4:4,,1
409,3:3,3:3,,0.94
410,5:5,5:5,,1
411,3:3,3:3,,1
412,4:4,4:4,,1
413,4:4,4:4,,0.99
414,1:1,1:1,,0.97
415,2:2,2:2,,0.92
416,4:4,4:4,,0.98
417,3:3,3:3,,1
418,4:4,4:4,,1
419,2:2,2:2,,0.57
420,3:3,3:3,,1
421,3:3,3:3,,1
422,4:4,4:4,,1
423,3:3,3:3,,0.89
424,7:7,7:7,,1
425,4:4,4:4,,1
426,1:1,1:1,,0.83
427,5:5,5:5,,1
428,1:1,1:1,,0.74
429,3:3,3:3,,0.97
430,7:7,7:7,,1
431,3:3,3:3,,1
432,2:2,2:2,,0.74
433,4:4,4:4,,1
434,4:4,4:4,,1
435,5:5,5:5,,1
436,1:1,1:1,,0.89
437,4:4,4:4,,1
438,5:5,5:5,,1
439,1:1,2:2,+,0.55
440,1:1,1:1,,0.96
441,2:2,2:2,,1
442,4:4,4:4,,1
443,6:6,6:6,,1
444,7:7,7:7,,1
445,2:2,2:2,,0.66
446,2:2,2:2,,0.98
447,6:6,6:6,,1
448,1:1,1:1,,0.77
449,3:3,3:3,,1
450,4:4,4:4,,1
451,3:3,3:3,,1
452,2:2,2:2,,0.81
453,2:2,1:1,+,0.66
454,6:6,6:6,,1
455,4:4,4:4,,1
456,7:7,7:7,,1
457,1:1,1:1,,0.7
458,2:2,2:2,,0.94
459,1:1,1:1,,1
460,2:2,2:2,,1
461,7:7,7:7,,1
462,6:6,6:6,,1
463,6:6,6:6,,1
464,1:1,2:2,+,0.57
465,2:2,2:2,,0.81
466,2:2,2:2,,0.96
467,2:2,2:2,,0.98
468,3:3,3:3,,1
469,3:3,3:3,,1
470,2:2,2:2,,0.9
471,5:5,5:5,,1
472,1:1,1:1,,0.8
473,4:4,4:4,,1
474,2:2,2:2,,0.62
475,5:5,5:5,,1
476,4:4,4:4,,1
477,3:3,3:3,,1
478,3:3,3:3,,1
479,4:4,4:4,,1
480,5:5,5:5,,1
481,4:4,4:4,,1
482,4:4,4:4,,1
483,1:1,1:1,,0.55
484,4:4,4:4,,1
485,4:4,4:4,,1
486,1:1,1:1,,0.76
487,4:4,4:4,,0.98
488,4:4,4:4,,1
489,4:4,4:4,,1
490,4:4,4:4,,1
491,4:4,4:4,,1
492,5:5,5:5,,1
493,4:4,4:4,,1
494,5:5,5:5,,1
495,4:4,4:4,,1
496,3:3,3:3,,1
497,6:6,6:6,,1
498,2:2,2:2,,0.84
499,7:7,7:7,,1
500,4:4,4:4,,1
501,5:5,5:5,,1
502,4:4,4:4,,1
503,1:1,1:1,,0.96
504,2:2,2:2,,0.9
505,5:5,5:5,,1
506,7:7,7:7,,1
507,4:4,4:4,,1
508,3:3,3:3,,1
509,5:5,5:5,,1
510,2:2,2:2,,0.86
511,6:6,6:6,,1
512,2:2,2:2,,1
513,4:4,4:4,,1
514,4:4,4:4,,1
515,5:5,5:5,,1
516,3:3,3:3,,1
517,4:4,4:4,,1
518,5:5,5:5,,1
519,3:3,3:3,,1
520,4:4,4:4,,1
521,3:3,3:3,,1
522,1:1,1:1,,0.79
523,4:4,4:4,,0.71
524,7:7,7:7,,1
525,5:5,5:5,,1
526,1:1,1:1,,0.89
527,5:5,5:5,,0.98
528,2:2,2:2,,0.94
529,1:1,1:1,,0.85
530,2:2,2:2,,0.92
531,4:4,4:4,,0.99
532,4:4,4:4,,1
533,3:3,3:3,,1
534,3:3,3:3,,1
535,4:4,4:4,,1
536,1:1,2:2,+,0.62
537,7:7,7:7,,1
538,2:2,2:2,,0.78
539,5:5,5:5,,1
540,4:4,4:4,,1
541,2:2,2:2,,1
542,1:1,1:1,,0.65
543,3:3,3:3,,0.99
544,2:2,2:2,,0.56
545,1:1,1:1,,0.77
546,4:4,4:4,,1
547,4:4,4:4,,1
548,4:4,4:4,,0.81
549,1:1,2:2,+,0.64
550,4:4,4:4,,1
551,3:3,3:3,,1
552,1:1,2:2,+,0.96
553,4:4,4:4,,1
554,7:7,7:7,,1
555,3:3,3:3,,0.93
556,4:4,4:4,,1
557,1:1,1:1,,1
558,3:3,3:3,,1
559,4:4,4:4,,1
560,1:1,2:2,+,0.88
561,4:4,4:4,,1
562,4:4,4:4,,1
563,4:4,4:4,,1
564,3:3,3:3,,1
565,3:3,3:3,,1
566,4:4,4:4,,1
567,1:1,2:2,+,0.71
568,3:3,3:3,,0.97
569,4:4,4:4,,0.82
570,2:2,2:2,,0.76
571,2:2,2:2,,0.8
572,3:3,3:3,,1
573,2:2,2:2,,1
574,4:4,4:4,,1
575,2:2,2:2,,0.96
576,4:4,4:4,,1
577,4:4,4:4,,1
578,4:4,4:4,,1
579,2:2,2:2,,0.66
580,3:3,3:3,,1
581,4:4,4:4,,1
582,4:4,4:4,,0.97
583,2:2,1:1,+,0.94
584,2:2,2:2,,0.99
585,1:1,1:1,,0.97
586,4:4,4:4,,1
587,4:4,4:4,,1
588,4:4,4:4,,1
589,3:3,3:3,,1
590,6:6,6:6,,0.71
591,4:4,4:4,,1
592,4:4,4:4,,0.98
593,4:4,4:4,,1
594,6:6,6:6,,0.94
595,7:7,7:7,,1
596,4:4,4:4,,1
597,5:5,5:5,,1
598,2:2,2:2,,0.98
599,4:4,4:4,,1
600,1:1,1:1,,0.75
601,1:1,2:2,+,0.53
602,1:1,1:1,,0.71
603,4:4,4:4,,1
604,2:2,2:2,,1
605,5:5,5:5,,1
606,4:4,4:4,,1
607,1:1,1:1,,0.9
608,1:1,1:1,,0.96
609,4:4,4:4,,1
610,3:3,3:3,,1
611,2:2,2:2,,0.73
612,1:1,1:1,,0.63
613,5:5,5:5,,1
614,4:4,4:4,,0.99
615,4:4,4:4,,1
616,4:4,4:4,,1
617,4:4,4:4,,1
618,2:2,2:2,,0.96
619,2:2,2:2,,0.86
620,6:6,6:6,,1
621,2:2,1:1,+,0.69
622,6:6,6:6,,1
623,4:4,4:4,,1
624,3:3,3:3,,1
625,7:7,7:7,,1
626,3:3,3:3,,1
627,4:4,4:4,,1
628,4:4,4:4,,1
629,4:4,4:4,,1
630,4:4,4:4,,1
631,4:4,3:3,+,0.74
632,2:2,1:1,+,0.69
633,4:4,4:4,,1
634,4:4,4:4,,0.99
635,2:2,2:2,,0.91
636,4:4,4:4,,1
637,3:3,3:3,,1
638,3:3,3:3,,1
639,4:4,4:4,,1
640,5:5,5:5,,1
641,2:2,2:2,,0.94
642,2:2,2:2,,0.91
643,5:5,5:5,,1
644,2:2,2:2,,0.92
645,6:6,6:6,,1
646,5:5,5:5,,1
647,1:1,1:1,,0.62
648,7:7,7:7,,1
649,4:4,4:4,,1
650,2:2,2:2,,0.98
651,4:4,4:4,,1
652,2:2,2:2,,1
653,4:4,4:4,,1
654,5:5,5:5,,1
655,4:4,4:4,,1
656,1:1,1:1,,0.94
657,4:4,4:4,,1
658,3:3,3:3,,1
659,1:1,1:1,,0.52
660,2:2,2:2,,1
661,3:3,3:3,,0.76
662,6:6,6:6,,1
663,4:4,4:4,,1
664,4:4,4:4,,1
665,1:1,1:1,,0.88
666,4:4,4:4,,0.99
667,5:5,5:5,,1
668,7:7,7:7,,1
669,6:6,6:6,,1
670,3:3,3:3,,1
671,1:1,1:1,,0.62
672,3:3,3:3,,1
673,2:2,2:2,,0.97
674,4:4,4:4,,1
675,4:4,4:4,,1
676,4:4,4:4,,0.89
677,1:1,1:1,,0.96
678,7:7,7:7,,1
679,1:1,1:1,,0.9
680,4:4,4:4,,0.98
681,6:6,6:6,,1
682,5:5,5:5,,1
683,4:4,4:4,,1
684,2:2,2:2,,1
685,5:5,5:5,,1
686,2:2,2:2,,0.99
687,4:4,4:4,,1
688,1:1,1:1,,1
689,4:4,4:4,,1
690,1:1,1:1,,0.91
691,4:4,4:4,,1
692,5:5,5:5,,1
693,4:4,4:4,,1
694,4:4,4:4,,1
695,4:4,4:4,,1
696,7:7,7:7,,1
697,4:4,4:4,,1
698,1:1,2:2,+,0.67
699,4:4,4:4,,1
700,4:4,4:4,,1
701,4:4,4:4,,1
702,2:2,1:1,+,0.54
703,7:7,7:7,,1
704,3:3,3:3,,1
705,4:4,4:4,,1
706,4:4,4:4,,1
707,2:2,2:2,,0.8
708,4:4,4:4,,1
709,2:2,2:2,,0.61
710,4:4,4:4,,1
711,4:4,3:3,+,0.9
712,4:4,4:4,,1
713,1:1,1:1,,0.5
714,2:2,2:2,,0.99
715,4:4,4:4,,1
716,2:2,2:2,,1
717,4:4,4:4,,1
718,6:6,6:6,,1
719,4:4,4:4,,1
720,7:7,7:7,,1
721,2:2,2:2,,0.85
722,5:5,5:5,,1
723,4:4,4:4,,1
724,2:2,2:2,,1
725,7:7,7:7,,1
726,1:1,1:1,,0.95
727,4:4,4:4,,1
728,5:5,5:5,,1
729,7:7,7:7,,1
730,2:2,2:2,,0.75
731,2:2,2:2,,0.99
732,2:2,2:2,,0.98
733,4:4,4:4,,1
734,4:4,4:4,,1
735,4:4,4:4,,1
736,4:4,4:4,,0.97
737,2:2,2:2,,0.83
738,7:7,7:7,,1
739,3:3,3:3,,1
740,1:1,2:2,+,0.74
741,4:4,4:4,,1
742,4:4,4:4,,1
743,4:4,4:4,,1
744,4:4,4:4,,1
745,4:4,4:4,,1
746,4:4,4:4,,1
747,3:3,3:3,,1
748,3:3,3:3,,1
749,4:4,4:4,,1
750,2:2,2:2,,0.96
751,4:4,4:4,,1
752,3:3,3:3,,1
753,6:6,6:6,,1
754,1:1,1:1,,0.92
755,4:4,4:4,,1
756,4:4,4:4,,1
757,4:4,4:4,,1
758,2:2,2:2,,0.89
759,5:5,5:5,,1
760,1:1,1:1,,0.7
761,5:5,5:5,,1
762,1:1,1:1,,1
763,2:2,2:2,,0.79
764,1:1,1:1,,0.96
765,4:4,4:4,,1
766,4:4,4:4,,1
767,6:6,6:6,,1
768,2:2,2:2,,0.88
769,4:4,4:4,,1
770,3:3,3:3,,1
771,3:3,3:3,,1
772,2:2,2:2,,0.98
773,1:1,1:1,,0.93
774,5:5,5:5,,1
775,2:2,1:1,+,0.66
776,4:4,4:4,,1
777,4:4,4:4,,1
778,4:4,4:4,,1
779,5:5,5:5,,1
780,1:1,1:1,,0.72
781,4:4,4:4,,1
782,4:4,4:4,,1
783,4:4,4:4,,1
784,4:4,4:4,,1
785,7:7,7:7,,1
786,1:1,1:1,,0.92
787,2:2,2:2,,0.94
788,7:7,7:7,,1
789,3:3,3:3,,1
790,4:4,4:4,,1
791,7:7,7:7,,1
792,2:2,2:2,,0.99
793,4:4,4:4,,1
794,4:4,4:4,,1
795,2:2,1:1,+,0.78
796,4:4,4:4,,1
797,2:2,2:2,,0.86
798,4:4,4:4,,1
799,4:4,4:4,,1
800,5:5,5:5,,1
801,4:4,4:4,,1
802,1:1,1:1,,0.89
803,4:4,4:4,,1
804,4:4,4:4,,1
805,3:3,3:3,,1
806,4:4,4:4,,1
807,4:4,4:4,,1
808,3:3,3:3,,1
809,4:4,4:4,,1
810,3:3,3:3,,1
811,2:2,2:2,,1
812,7:7,7:7,,1
813,2:2,2:2,,0.99
814,2:2,2:2,,0.84
815,4:4,4:4,,1
816,4:4,4:4,,1
817,4:4,4:4,,0.99
818,2:2,1:1,+,0.99
819,4:4,4:4,,1
820,4:4,4:4,,1
821,4:4,4:4,,1
822,4:4,4:4,,1
823,4:4,4:4,,0.99
824,6:6,6:6,,1
825,2:2,1:1,+,0.77
826,4:4,4:4,,1
827,2:2,2:2,,0.73
828,3:3,3:3,,1
829,1:1,1:1,,0.52
830,4:4,4:4,,0.99
831,4:4,4:4,,1
832,3:3,3:3,,0.99
833,4:4,4:4,,1
834,4:4,4:4,,1
835,3:3,3:3,,1
836,5:5,5:5,,1
837,3:3,3:3,,1
838,1:1,2:2,+,0.72
839,4:4,4:4,,1
840,2:2,2:2,,0.79
841,1:1,1:1,,0.75
842,7:7,7:7,,1
843,6:6,6:6,,1
844,2:2,2:2,,0.99
845,3:3,3:3,,1
846,4:4,4:4,,1
847,4:4,4:4,,1
848,2:2,2:2,,0.9
849,3:3,3:3,,1
850,2:2,2:2,,0.89
851,2:2,2:2,,0.95
852,1:1,1:1,,0.77
853,6:6,6:6,,1
854,6:6,6:6,,1
855,3:3,3:3,,0.93
856,2:2,2:2,,1
857,2:2,2:2,,0.87
858,3:3,3:3,,1
859,4:4,4:4,,1
860,2:2,2:2,,0.91
861,1:1,1:1,,0.53
862,2:2,2:2,,0.61
863,7:7,7:7,,1
864,3:3,3:3,,1
865,2:2,2:2,,0.93
866,1:1,1:1,,0.95
867,2:2,1:1,+,0.71
868,2:2,2:2,,1
869,4:4,4:4,,1
870,7:7,7:7,,0.66
871,1:1,1:1,,0.86
872,2:2,2:2,,1
873,4:4,4:4,,1
874,2:2,2:2,,0.84
875,4:4,4:4,,1
876,1:1,1:1,,0.9
877,3:3,3:3,,1
878,4:4,4:4,,1
879,2:2,1:1,+,0.86
880,3:3,3:3,,0.91
881,4:4,4:4,,0.69
882,5:5,5:5,,1
883,4:4,4:4,,1
884,4:4,4:4,,1
885,5:5,5:5,,1
886,3:3,3:3,,0.99
887,4:4,4:4,,1
888,6:6,6:6,,1
889,3:3,3:3,,1
890,5:5,5:5,,1
891,4:4,4:4,,0.86
892,5:5,5:5,,1
893,4:4,4:4,,1
894,4:4,4:4,,1
895,4:4,4:4,,1
896,7:7,7:7,,1
897,2:2,2:2,,1
898,7:7,7:7,,1
899,1:1,1:1,,1
900,1:1,1:1,,0.95
901,3:3,3:3,,1
902,2:2,2:2,,0.76
903,4:4,4:4,,1
904,2:2,2:2,,0.98
905,3:3,3:3,,1
906,2:2,2:2,,0.85
907,6:6,6:6,,1
908,4:4,4:4,,1
909,2:2,2:2,,0.77
910,2:2,1:1,+,0.85
911,2:2,2:2,,0.92
912,2:2,2:2,,0.98
913,4:4,4:4,,1
914,2:2,2:2,,0.87
915,4:4,4:4,,1
916,3:3,3:3,,1
917,3:3,3:3,,1
918,4:4,4:4,,1
919,2:2,2:2,,0.71
920,1:1,1:1,,0.83
921,4:4,4:4,,1
922,4:4,4:4,,1
923,1:1,1:1,,0.59
924,3:3,3:3,,1
925,4:4,4:4,,1
926,6:6,6:6,,1
927,2:2,1:1,+,0.51
928,5:5,5:5,,1
929,4:4,4:4,,1
930,7:7,7:7,,1
931,4:4,4:4,,1
932,2:2,2:2,,0.95
933,1:1,2:2,+,0.75
934,1:1,1:1,,0.95
935,4:4,4:4,,1
936,4:4,4:4,,1
937,4:4,4:4,,1
938,2:2,2:2,,1
939,4:4,4:4,,0.99
940,4:4,4:4,,1
941,4:4,4:4,,1
942,4:4,4:4,,1
943,4:4,4:4,,0.98
944,7:7,7:7,,1
945,2:2,2:2,,0.98
946,2:2,2:2,,0.95
947,4:4,4:4,,1
948,1:1,1:1,,0.5
949,3:3,3:3,,1
950,1:1,2:2,+,0.7
951,1:1,1:1,,0.63
952,1:1,1:1,,0.85
953,2:2,2:2,,0.51
954,5:5,5:5,,1
955,4:4,4:4,,1
956,1:1,1:1,,0.98
957,2:2,2:2,,0.82
958,3:3,3:3,,1
959,2:2,2:2,,0.98
960,4:4,4:4,,0.91
961,4:4,4:4,,1
962,4:4,4:4,,1
963,4:4,4:4,,1
964,2:2,2:2,,0.93
965,4:4,4:4,,1
966,4:4,4:4,,0.97
967,2:2,2:2,,0.62
968,7:7,7:7,,1
969,1:1,1:1,,0.77
970,1:1,1:1,,0.98
971,4:4,4:4,,1
972,6:6,6:6,,0.78
973,3:3,3:3,,1
974,2:2,2:2,,0.99
975,5:5,5:5,,1
976,1:1,1:1,,0.8
977,2:2,2:2,,0.69
978,2:2,2:2,,0.89
979,4:4,4:4,,1
980,2:2,2:2,,1
981,4:4,4:4,,1
982,4:4,4:4,,1
983,1:1,1:1,,0.57
984,3:3,3:3,,1
985,4:4,4:4,,1
986,3:3,3:3,,0.98
987,2:2,2:2,,0.88
988,3:3,3:3,,1
989,7:7,7:7,,1
990,1:1,1:1,,0.51
991,4:4,4:4,,1
992,4:4,4:4,,1
993,2:2,2:2,,0.6
994,3:3,3:3,,0.76
995,5:5,5:5,,1
996,7:7,7:7,,1
997,2:2,2:2,,0.98
998,2:2,2:2,,0.72
999,4:4,4:4,,1
1000,4:4,4:4,,1
1001,4:4,4:4,,1
1002,5:5,5:5,,1
1003,4:4,4:4,,1
1004,4:4,4:4,,1
1005,4:4,4:4,,1
1006,5:5,5:5,,1
1007,3:3,3:3,,1
1008,7:7,7:7,,1
1009,4:4,4:4,,1
1010,1:1,1:1,,0.98
1011,4:4,4:4,,1
1012,2:2,2:2,,1
