inst#,actual,predicted,error,prediction
129,1:0,1:0,?,1
130,1:0,1:0,?,1
131,2:1,1:0,+,0.81
132,1:0,1:0,?,1
133,1:0,1:0,?,1
134,1:0,1:0,?,1
135,2:1,1:0,+,0.59
136,1:0,1:0,?,1
137,2:1,2:1,?,1
138,1:0,1:0,?,0.89
139,1:0,1:0,?,1
140,1:0,1:0,?,1
141,1:0,1:0,?,1
142,2:1,2:1,?,0.99
143,1:0,1:0,?,0.69
144,1:0,1:0,?,0.97
145,2:1,2:1,?,1
146,2:1,2:1,?,0.99
147,1:0,1:0,?,0.97
148,2:1,2:1,?,1
149,1:0,1:0,?,0.76
150,1:0,1:0,?,1
151,1:0,1:0,?,1
152,1:0,1:0,?,1
153,1:0,1:0,?,1
154,1:0,1:0,?,0.87
155,1:0,1:0,?,1
156,1:0,1:0,?,1
157,1:0,1:0,?,1
158,1:0,1:0,?,1
159,1:0,1:0,?,1
160,1:0,1:0,?,1
161,1:0,1:0,?,1
162,2:1,2:1,?,1
163,1:0,1:0,?,1
164,1:0,1:0,?,1
165,1:0,1:0,?,1
166,1:0,1:0,?,1
167,1:0,1:0,?,1
168,1:0,1:0,?,1
169,1:0,1:0,?,1
170,1:0,1:0,?,1
171,2:1,2:1,?,0.93
172,1:0,1:0,?,1
173,2:1,2:1,?,1
174,1:0,1:0,?,1
175,1:0,1:0,?,1
176,2:1,2:1,?,0.9
177,1:0,1:0,?,1
178,1:0,1:0,?,1
179,1:0,1:0,?,1
180,1:0,1:0,?,1
181,1:0,1:0,?,0.89
182,1:0,1:0,?,0.95
183,1:0,1:0,?,1
184,1:0,1:0,?,1
185,1:0,1:0,?,1
186,2:1,2:1,?,1
187,1:0,1:0,?,1
188,1:0,1:0,?,1
189,2:1,1:0,+,0.74
190,2:1,2:1,?,1
191,1:0,1:0,?,0.87
192,1:0,1:0,?,0.86
193,1:0,1:0,?,0.97
194,1:0,1:0,?,1
195,1:0,1:0,?,1
196,2:1,2:1,?,1
197,1:0,1:0,?,1
198,1:0,1:0,?,1
199,1:0,1:0,?,1
200,1:0,1:0,?,1
201,1:0,1:0,?,1
202,1:0,1:0,?,1
203,1:0,1:0,?,1
204,2:1,2:1,?,0.98
205,1:0,1:0,?,1
206,2:1,2:1,?,1
207,1:0,1:0,?,1
208,2:1,2:1,?,1
209,1:0,1:0,?,1
210,2:1,2:1,?,1
211,1:0,1:0,?,1
212,1:0,1:0,?,1
213,1:0,1:0,?,0.98
214,1:0,1:0,?,1
215,2:1,2:1,?,1
216,2:1,2:1,?,1
217,1:0,1:0,?,1
218,1:0,1:0,?,1
219,1:0,1:0,?,1
220,1:0,1:0,?,1
221,1:0,1:0,?,1
222,1:0,1:0,?,1
223,1:0,1:0,?,0.96
224,1:0,1:0,?,1
225,1:0,1:0,?,1
226,1:0,1:0,?,1
227,1:0,1:0,?,1
228,2:1,2:1,?,0.68
229,1:0,1:0,?,0.98
230,1:0,1:0,?,1
231,1:0,1:0,?,1
232,1:0,1:0,?,1
233,1:0,1:0,?,1
234,1:0,1:0,?,1
235,2:1,2:1,?,1
236,1:0,1:0,?,1
237,2:1,2:1,?,0.98
238,1:0,1:0,?,1
239,1:0,1:0,?,1
240,1:0,1:0,?,1
241,1:0,1:0,?,1
242,1:0,1:0,?,1
243,1:0,1:0,?,1
244,2:1,2:1,?,1
245,1:0,1:0,?,1
246,1:0,1:0,?,1
247,1:0,1:0,?,1
248,1:0,1:0,?,1
249,1:0,1:0,?,1
250,1:0,1:0,?,1
251,1:0,1:0,?,1
252,1:0,1:0,?,1
253,1:0,1:0,?,1
254,1:0,1:0,?,1
255,1:0,1:0,?,1
256,1:0,1:0,?,1
257,1:0,1:0,?,1
258,1:0,1:0,?,0.84
259,1:0,1:0,?,1
260,1:0,1:0,?,1
261,1:0,1:0,?,1
262,1:0,1:0,?,1
263,1:0,1:0,?,1
264,1:0,1:0,?,1
265,1:0,1:0,?,1
266,1:0,1:0,?,1
267,1:0,1:0,?,0.99
268,1:0,1:0,?,0.72
269,1:0,1:0,?,1
270,1:0,1:0,?,1
271,2:1,2:1,?,0.93
272,1:0,1:0,?,1
273,1:0,1:0,?,1
274,1:0,1:0,?,1
275,1:0,1:0,?,0.98
276,1:0,1:0,?,0.98
277,2:1,2:1,?,1
278,1:0,1:0,?,1
279,1:0,1:0,?,1
280,1:0,1:0,?,1
281,1:0,1:0,?,1
282,1:0,1:0,?,1
283,1:0,1:0,?,1
284,1:0,1:0,?,1
285,1:0,1:0,?,0.98
286,1:0,1:0,?,1
287,1:0,1:0,?,1
288,2:1,2:1,?,1
289,1:0,1:0,?,1
290,1:0,1:0,?,1
291,2:1,2:1,?,1
292,1:0,1:0,?,0.84
293,1:0,1:0,?,1
294,1:0,1:0,?,1
295,1:0,1:0,?,1
296,1:0,1:0,?,1
297,1:0,1:0,?,1
298,1:0,1:0,?,0.98
299,2:1,2:1,?,1
300,1:0,1:0,?,1
301,1:0,1:0,?,0.91
302,1:0,2:1,+,0.72
303,1:0,1:0,?,1
304,1:0,1:0,?,1
305,2:1,2:1,?,1
306,1:0,1:0,?,0.99
307,1:0,1:0,?,1
308,2:1,2:1,?,1
309,1:0,1:0,?,1
310,2:1,2:1,?,0.9
311,2:1,2:1,?,0.94
312,1:0,1:0,?,1
313,2:1,2:1,?,1
314,1:0,1:0,?,1
315,2:1,2:1,?,1
316,1:0,1:0,?,1
317,1:0,1:0,?,1
318,1:0,1:0,?,1
319,2:1,2:1,?,1
320,1:0,1:0,?,1
321,1:0,1:0,?,1
322,2:1,2:1,?,1
323,1:0,1:0,?,1
324,2:1,2:1,?,1
325,1:0,1:0,?,1
326,1:0,1:0,?,1
327,2:1,2:1,?,0.98
328,1:0,1:0,?,1
329,1:0,1:0,?,1
330,1:0,1:0,?,1
331,2:1,2:1,?,1
332,1:0,1:0,?,1
333,1:0,1:0,?,1
334,2:1,2:1,?,0.99
335,1:0,1:0,?,1
336,2:1,2:1,?,1
337,2:1,2:1,?,1
338,1:0,1:0,?,1
339,2:1,2:1,?,1
340,2:1,2:1,?,1
341,1:0,1:0,?,1
342,1:0,1:0,?,1
343,1:0,1:0,?,1
344,1:0,1:0,?,0.73
345,1:0,1:0,?,1
346,1:0,1:0,?,1
347,1:0,1:0,?,1
348,1:0,1:0,?,1
349,2:1,2:1,?,1
350,1:0,1:0,?,0.79
351,1:0,1:0,?,0.98
352,1:0,1:0,?,1
353,2:1,2:1,?,0.8
354,1:0,1:0,?,1
355,1:0,1:0,?,1
356,2:1,2:1,?,1
357,2:1,2:1,?,1
358,1:0,1:0,?,1
359,2:1,1:0,+,0.6
360,1:0,1:0,?,1
361,1:0,1:0,?,1
362,1:0,1:0,?,1
363,2:1,2:1,?,1
364,1:0,1:0,?,1
365,1:0,1:0,?,1
366,1:0,1:0,?,0.82
367,1:0,1:0,?,0.91
368,1:0,1:0,?,1
369,1:0,1:0,?,1
370,2:1,2:1,?,1
371,1:0,1:0,?,0.89
372,2:1,2:1,?,1
373,2:1,2:1,?,1
374,1:0,1:0,?,1
375,1:0,1:0,?,1
376,1:0,1:0,?,1
377,1:0,1:0,?,1
378,1:0,1:0,?,0.91
379,2:1,2:1,?,1
380,1:0,1:0,?,0.88
381,1:0,1:0,?,0.99
382,2:1,2:1,?,0.82
383,1:0,1:0,?,1
384,2:1,2:1,?,1
385,2:1,2:1,?,0.97
386,2:1,2:1,?,1
387,1:0,1:0,?,1
388,1:0,1:0,?,1
389,1:0,1:0,?,1
390,1:0,1:0,?,1
391,1:0,1:0,?,1
392,1:0,1:0,?,1
393,1:0,1:0,?,1
394,1:0,1:0,?,1
395,1:0,1:0,?,1
396,1:0,1:0,?,1
397,1:0,1:0,?,1
398,2:1,2:1,?,0.97
399,2:1,2:1,?,1
400,1:0,1:0,?,1
401,1:0,1:0,?,1
402,2:1,2:1,?,1
403,1:0,1:0,?,1
404,1:0,1:0,?,1
405,1:0,1:0,?,1
406,1:0,1:0,?,1
407,1:0,1:0,?,1
408,1:0,1:0,?,1
409,1:0,1:0,?,1
410,2:1,2:1,?,1
411,1:0,1:0,?,1
412,1:0,1:0,?,1
413,1:0,1:0,?,0.96
414,2:1,2:1,?,1
415,2:1,2:1,?,1
416,1:0,1:0,?,1
417,1:0,1:0,?,1
418,1:0,1:0,?,1
419,1:0,1:0,?,0.98
420,1:0,1:0,?,1
421,2:1,2:1,?,1
422,1:0,1:0,?,0.98
423,1:0,1:0,?,1
424,1:0,1:0,?,0.98
425,1:0,1:0,?,1
426,1:0,1:0,?,1
427,1:0,1:0,?,1
428,2:1,2:1,?,1
429,1:0,1:0,?,1
430,1:0,1:0,?,1
431,1:0,1:0,?,1
432,2:1,2:1,?,1
433,1:0,1:0,?,1
434,1:0,1:0,?,1
435,1:0,1:0,?,1
436,1:0,1:0,?,1
437,1:0,1:0,?,1
438,2:1,2:1,?,1
439,1:0,1:0,?,1
440,1:0,1:0,?,1
441,1:0,1:0,?,0.98
442,1:0,1:0,?,1
443,1:0,1:0,?,0.98
444,2:1,2:1,?,1
445,1:0,1:0,?,1
446,1:0,1:0,?,0.99
447,2:1,2:1,?,0.77
448,1:0,1:0,?,0.98
449,1:0,1:0,?,1
450,2:1,2:1,?,1
451,2:1,2:1,?,1
452,2:1,2:1,?,1
453,2:1,2:1,?,1
454,1:0,1:0,?,1
455,1:0,1:0,?,1
456,1:0,1:0,?,1
457,1:0,1:0,?,1
458,1:0,1:0,?,0.89
459,1:0,1:0,?,1
460,1:0,1:0,?,1
461,1:0,1:0,?,0.87
462,2:1,2:1,?,0.7
463,2:1,2:1,?,1
464,1:0,1:0,?,1
465,1:0,1:0,?,0.98
466,1:0,1:0,?,1
467,1:0,1:0,?,1
468,1:0,1:0,?,1
469,1:0,1:0,?,1
470,2:1,2:1,?,0.78
471,1:0,1:0,?,1
472,2:1,2:1,?,1
473,1:0,1:0,?,1
474,1:0,1:0,?,1
475,1:0,1:0,?,1
476,1:0,1:0,?,1
477,1:0,1:0,?,1
478,1:0,1:0,?,1
479,1:0,1:0,?,1
480,1:0,1:0,?,1
481,1:0,1:0,?,1
482,1:0,1:0,?,1
483,2:1,2:1,?,0.9
484,1:0,1:0,?,1
485,1:0,1:0,?,1
486,1:0,1:0,?,1
487,1:0,1:0,?,1
488,1:0,1:0,?,1
489,1:0,1:0,?,0.91
490,1:0,1:0,?,1
491,1:0,1:0,?,1
492,1:0,1:0,?,1
493,2:1,2:1,?,1
494,1:0,1:0,?,0.99
495,1:0,1:0,?,1
496,1:0,1:0,?,1
497,1:0,1:0,?,1
498,1:0,1:0,?,0.89
499,1:0,1:0,?,1
500,1:0,1:0,?,1
501,1:0,1:0,?,1
502,1:0,1:0,?,1
503,1:0,1:0,?,1
504,1:0,1:0,?,1
505,2:1,2:1,?,0.99
506,1:0,1:0,?,1
507,2:1,2:1,?,1
508,2:1,2:1,?,0.98
509,2:1,2:1,?,1
510,2:1,2:1,?,1
511,1:0,1:0,?,1
512,2:1,2:1,?,1
513,1:0,1:0,?,1
514,1:0,1:0,?,1
515,1:0,1:0,?,1
516,1:0,1:0,?,1
517,1:0,1:0,?,1
518,2:1,2:1,?,1
519,1:0,1:0,?,1
520,2:1,2:1,?,0.99
521,1:0,1:0,?,1
522,1:0,1:0,?,1
523,1:0,1:0,?,1
524,1:0,1:0,?,0.95
525,1:0,1:0,?,1
526,1:0,1:0,?,1
527,2:1,2:1,?,1
528,1:0,1:0,?,1
529,1:0,1:0,?,1
530,1:0,1:0,?,1
531,1:0,1:0,?,1
532,1:0,1:0,?,1
533,1:0,1:0,?,1
534,1:0,1:0,?,1
535,1:0,1:0,?,1
536,1:0,1:0,?,1
537,1:0,1:0,?,1
538,1:0,1:0,?,1
539,1:0,1:0,?,1
540,1:0,1:0,?,1
541,1:0,1:0,?,1
542,1:0,1:0,?,0.84
543,1:0,1:0,?,1
544,1:0,1:0,?,1
545,2:1,2:1,?,1
546,2:1,2:1,?,1
547,1:0,1:0,?,1
548,1:0,1:0,?,0.99
549,1:0,1:0,?,0.98
550,1:0,1:0,?,1
551,1:0,1:0,?,1
552,1:0,1:0,?,1
553,2:1,2:1,?,1
554,1:0,1:0,?,1
555,1:0,1:0,?,1
556,1:0,1:0,?,1
557,2:1,2:1,?,0.98
558,1:0,1:0,?,1
559,1:0,1:0,?,1
560,2:1,2:1,?,1
561,2:1,2:1,?,1
562,1:0,1:0,?,1
563,1:0,1:0,?,1
564,2:1,2:1,?,0.89
565,1:0,1:0,?,1
566,1:0,1:0,?,0.89
567,1:0,1:0,?,0.98
568,1:0,1:0,?,1
569,1:0,1:0,?,1
570,1:0,1:0,?,1
571,1:0,1:0,?,1
572,1:0,1:0,?,0.81
573,1:0,1:0,?,1
574,1:0,1:0,?,1
575,1:0,1:0,?,1
576,1:0,1:0,?,1
577,2:1,2:1,?,1
578,1:0,1:0,?,1
579,1:0,1:0,?,1
580,1:0,1:0,?,0.94
581,1:0,1:0,?,1
582,2:1,2:1,?,1
583,1:0,1:0,?,1
584,1:0,1:0,?,1
585,2:1,2:1,?,0.99
586,1:0,1:0,?,1
587,2:1,2:1,?,1
588,2:1,2:1,?,1
589,1:0,1:0,?,1
590,1:0,1:0,?,1
591,1:0,1:0,?,1
592,1:0,1:0,?,1
593,1:0,1:0,?,1
594,1:0,1:0,?,1
595,1:0,1:0,?,0.98
596,1:0,1:0,?,1
597,2:1,1:0,+,0.79
598,2:1,2:1,?,1
599,2:1,2:1,?,1
600,1:0,1:0,?,1
601,1:0,1:0,?,1
602,2:1,2:1,?,1
603,1:0,1:0,?,0.96
604,1:0,1:0,?,1
605,2:1,2:1,?,0.62
606,1:0,1:0,?,1
607,1:0,1:0,?,1
608,1:0,1:0,?,1
609,1:0,1:0,?,1
610,2:1,2:1,?,1
611,1:0,1:0,?,1
612,2:1,2:1,?,0.89
613,1:0,1:0,?,1
614,1:0,1:0,?,0.98
615,1:0,1:0,?,1
616,1:0,1:0,?,1
617,1:0,1:0,?,1
618,1:0,1:0,?,0.94
619,1:0,1:0,?,1
620,1:0,1:0,?,1
621,2:1,2:1,?,1
622,1:0,1:0,?,1
623,2:1,2:1,?,1
624,1:0,1:0,?,1
625,2:1,2:1,?,1
626,1:0,1:0,?,1
627,1:0,1:0,?,1
628,2:1,2:1,?,1
629,1:0,1:0,?,1
630,1:0,1:0,?,1
631,1:0,1:0,?,1
632,1:0,1:0,?,1
633,1:0,1:0,?,1
634,2:1,2:1,?,0.65
635,2:1,2:1,?,1
636,1:0,1:0,?,1
637,1:0,1:0,?,1
638,1:0,1:0,?,0.98
639,1:0,1:0,?,1
640,1:0,1:0,?,1
641,1:0,1:0,?,1
642,1:0,1:0,?,1
643,1:0,1:0,?,1
644,1:0,1:0,?,1
645,1:0,1:0,?,1
646,1:0,1:0,?,1
647,1:0,1:0,?,1
648,1:0,1:0,?,1
649,1:0,1:0,?,1
650,1:0,1:0,?,1
651,1:0,1:0,?,1
652,2:1,2:1,?,0.99
653,1:0,1:0,?,1
654,1:0,1:0,?,1
655,1:0,1:0,?,1
656,1:0,1:0,?,1
657,1:0,1:0,?,1
658,1:0,1:0,?,1
659,2:1,2:1,?,1
660,2:1,2:1,?,0.99
661,2:1,2:1,?,1
662,1:0,1:0,?,1
663,1:0,1:0,?,1
664,1:0,1:0,?,1
665,2:1,2:1,?,1
666,1:0,1:0,?,1
667,1:0,1:0,?,0.99
668,1:0,1:0,?,1
669,2:1,2:1,?,0.99
670,2:1,2:1,?,1
671,1:0,1:0,?,1
672,1:0,1:0,?,1
673,1:0,1:0,?,1
674,1:0,1:0,?,0.98
675,1:0,1:0,?,1
676,1:0,1:0,?,1
677,1:0,1:0,?,1
678,1:0,1:0,?,1
679,1:0,1:0,?,1
680,1:0,1:0,?,0.98
681,1:0,1:0,?,1
682,1:0,1:0,?,1
683,1:0,1:0,?,1
684,1:0,1:0,?,1
685,1:0,1:0,?,1
686,1:0,1:0,?,1
687,1:0,1:0,?,1
688,1:0,1:0,?,1
689,2:1,2:1,?,1
690,1:0,1:0,?,1
691,2:1,2:1,?,1
692,1:0,1:0,?,0.95
693,1:0,1:0,?,0.94
694,1:0,1:0,?,1
695,1:0,1:0,?,1
696,1:0,1:0,?,0.93
697,1:0,1:0,?,0.98
698,1:0,1:0,?,1
699,1:0,1:0,?,1
700,2:1,2:1,?,1
701,1:0,1:0,?,1
702,1:0,1:0,?,1
703,1:0,1:0,?,1
704,1:0,1:0,?,1
705,2:1,2:1,?,1
706,2:1,2:1,?,1
707,2:1,2:1,?,1
708,2:1,2:1,?,0.99
709,1:0,1:0,?,1
710,1:0,1:0,?,1
711,1:0,1:0,?,1
712,2:1,1:0,+,0.79
713,1:0,1:0,?,1
714,1:0,1:0,?,1
715,1:0,1:0,?,0.96
716,1:0,1:0,?,0.99
717,1:0,1:0,?,1
718,1:0,1:0,?,1
719,1:0,1:0,?,1
720,1:0,1:0,?,1
721,1:0,1:0,?,1
722,1:0,1:0,?,0.97
723,1:0,1:0,?,1
724,1:0,1:0,?,1
725,2:1,2:1,?,1
726,2:1,2:1,?,0.99
727,1:0,1:0,?,0.97
728,2:1,2:1,?,1
729,1:0,1:0,?,1
730,1:0,1:0,?,1
731,1:0,1:0,?,1
732,1:0,1:0,?,0.91
733,2:1,2:1,?,1
734,1:0,1:0,?,1
735,2:1,2:1,?,0.83
736,1:0,1:0,?,1
737,1:0,1:0,?,1
738,1:0,1:0,?,1
739,2:1,2:1,?,1
740,1:0,1:0,?,1
741,1:0,1:0,?,1
742,1:0,1:0,?,1
743,1:0,1:0,?,1
744,1:0,1:0,?,1
745,1:0,1:0,?,1
746,1:0,1:0,?,1
747,2:1,2:1,?,1
748,2:1,2:1,?,0.88
749,1:0,1:0,?,1
750,1:0,1:0,?,1
751,1:0,1:0,?,1
752,1:0,1:0,?,1
753,2:1,2:1,?,0.95
754,1:0,1:0,?,1
755,2:1,2:1,?,1
756,2:1,2:1,?,1
757,1:0,1:0,?,1
758,1:0,1:0,?,1
759,1:0,1:0,?,0.89
760,1:0,1:0,?,1
761,1:0,1:0,?,1
762,1:0,1:0,?,1
763,1:0,1:0,?,1
764,1:0,1:0,?,1
765,1:0,1:0,?,1
766,1:0,1:0,?,0.87
767,1:0,1:0,?,1
768,1:0,1:0,?,0.99
769,2:1,2:1,?,1
770,1:0,1:0,?,1
771,1:0,1:0,?,1
772,1:0,1:0,?,1
773,1:0,1:0,?,1
774,1:0,1:0,?,1
775,2:1,1:0,+,0.69
776,1:0,1:0,?,1
777,1:0,1:0,?,0.97
778,1:0,1:0,?,1
779,1:0,1:0,?,0.99
780,1:0,1:0,?,1
781,1:0,1:0,?,1
782,1:0,1:0,?,1
783,1:0,1:0,?,1
784,1:0,1:0,?,1
785,2:1,2:1,?,1
786,1:0,1:0,?,0.99
787,1:0,1:0,?,1
788,1:0,1:0,?,1
789,1:0,1:0,?,1
790,2:1,2:1,?,1
791,2:1,2:1,?,0.98
792,1:0,1:0,?,1
793,2:1,1:0,+,0.89
794,1:0,1:0,?,1
795,1:0,1:0,?,1
796,2:1,2:1,?,1
797,1:0,1:0,?,1
798,1:0,1:0,?,1
799,1:0,1:0,?,1
800,1:0,1:0,?,1
801,1:0,1:0,?,1
802,1:0,1:0,?,1
803,2:1,1:0,+,0.81
804,1:0,1:0,?,1
805,2:1,2:1,?,1
806,2:1,2:1,?,1
807,1:0,1:0,?,1
808,1:0,1:0,?,1
809,1:0,1:0,?,0.83
810,2:1,2:1,?,1
811,1:0,1:0,?,0.98
812,1:0,1:0,?,1
813,1:0,1:0,?,1
814,1:0,1:0,?,1
815,1:0,1:0,?,1
816,1:0,1:0,?,0.98
817,1:0,1:0,?,0.55
818,1:0,1:0,?,0.97
819,1:0,1:0,?,1
820,1:0,1:0,?,1
821,1:0,1:0,?,1
822,2:1,2:1,?,1
823,1:0,1:0,?,1
824,1:0,1:0,?,1
825,1:0,1:0,?,1
826,1:0,1:0,?,1
827,1:0,1:0,?,1
828,1:0,1:0,?,0.91
829,1:0,1:0,?,1
830,1:0,1:0,?,1
831,1:0,1:0,?,1
832,1:0,1:0,?,1
833,1:0,1:0,?,1
834,1:0,1:0,?,1
835,1:0,1:0,?,1
836,1:0,1:0,?,1
837,2:1,1:0,+,0.76
838,1:0,1:0,?,0.98
839,1:0,1:0,?,1
840,1:0,1:0,?,1
841,1:0,1:0,?,1
842,1:0,1:0,?,1
843,2:1,2:1,?,1
844,1:0,1:0,?,1
845,1:0,1:0,?,1
846,2:1,2:1,?,1
847,1:0,1:0,?,1
848,1:0,1:0,?,0.96
849,1:0,1:0,?,0.99
850,1:0,1:0,?,1
851,1:0,1:0,?,1
852,1:0,1:0,?,1
853,1:0,1:0,?,1
854,1:0,1:0,?,1
855,1:0,1:0,?,1
856,1:0,1:0,?,1
857,1:0,1:0,?,1
858,2:1,2:1,?,1
859,1:0,1:0,?,1
860,1:0,1:0,?,1
861,2:1,2:1,?,1
862,1:0,1:0,?,0.98
863,1:0,1:0,?,1
864,1:0,1:0,?,1
865,2:1,2:1,?,0.85
866,1:0,1:0,?,1
867,1:0,1:0,?,1
868,1:0,1:0,?,1
869,1:0,1:0,?,1
870,1:0,1:0,?,0.95
871,1:0,1:0,?,0.99
872,1:0,1:0,?,1
873,1:0,1:0,?,0.99
874,1:0,1:0,?,1
875,2:1,2:1,?,1
876,1:0,1:0,?,1
877,1:0,1:0,?,1
878,1:0,1:0,?,1
879,1:0,1:0,?,1
880,2:1,2:1,?,0.95
881,1:0,1:0,?,0.93
882,1:0,1:0,?,1
883,2:1,2:1,?,1
884,1:0,1:0,?,1
885,1:0,1:0,?,1
886,1:0,1:0,?,1
887,1:0,1:0,?,1
888,1:0,1:0,?,1
889,2:1,2:1,?,1
890,1:0,1:0,?,0.91
891,1:0,1:0,?,0.99
892,1:0,1:0,?,0.99
893,1:0,1:0,?,0.98
894,1:0,1:0,?,1
895,2:1,2:1,?,1
896,2:1,2:1,?,1
897,1:0,1:0,?,1
898,1:0,1:0,?,1
899,1:0,1:0,?,1
900,1:0,1:0,?,1
901,1:0,1:0,?,1
902,1:0,1:0,?,1
903,2:1,2:1,?,1
904,1:0,1:0,?,1
905,1:0,1:0,?,1
906,2:1,2:1,?,1
907,1:0,1:0,?,1
908,1:0,1:0,?,1
909,2:1,2:1,?,1
910,1:0,1:0,?,0.9
911,1:0,1:0,?,1
912,1:0,1:0,?,1
913,1:0,1:0,?,1
914,1:0,1:0,?,1
915,2:1,2:1,?,0.9
916,2:1,2:1,?,0.86
917,1:0,1:0,?,0.99
918,2:1,2:1,?,0.99
919,1:0,1:0,?,1
920,1:0,1:0,?,0.86
921,1:0,1:0,?,1
922,1:0,1:0,?,1
923,1:0,1:0,?,1
924,1:0,1:0,?,0.93
925,2:1,2:1,?,0.72
926,1:0,1:0,?,1
927,1:0,1:0,?,1
928,1:0,1:0,?,1
929,1:0,1:0,?,1
930,2:1,1:0,+,0.82
931,1:0,1:0,?,1
932,1:0,1:0,?,1
933,1:0,1:0,?,1
934,1:0,1:0,?,1
935,2:1,2:1,?,1
936,1:0,1:0,?,1
937,1:0,1:0,?,1
938,1:0,1:0,?,1
939,1:0,1:0,?,1
940,1:0,1:0,?,1
941,1:0,1:0,?,1
942,2:1,2:1,?,1
943,2:1,2:1,?,0.99
944,1:0,1:0,?,1
945,1:0,1:0,?,1
946,2:1,1:0,+,0.69
947,2:1,2:1,?,1
948,1:0,1:0,?,1
949,1:0,1:0,?,1
950,1:0,1:0,?,1
951,1:0,1:0,?,1
952,1:0,1:0,?,1
953,1:0,1:0,?,1
954,1:0,1:0,?,1
955,2:1,2:1,?,0.97
956,2:1,2:1,?,1
957,2:1,2:1,?,1
958,1:0,1:0,?,1
959,1:0,1:0,?,0.61
960,1:0,1:0,?,1
961,2:1,2:1,?,0.55
962,1:0,1:0,?,1
963,1:0,1:0,?,1
964,1:0,1:0,?,1
965,1:0,1:0,?,1
966,1:0,1:0,?,1
967,1:0,1:0,?,1
968,1:0,1:0,?,1
969,1:0,1:0,?,1
970,2:1,2:1,?,1
